name,busbari,busbarf,connected,report,start_time,end_time,voltage,max_flow,r,x,losses,lifetime,inv_cost,coma_cost
Dolores 110->Pozo Almonte 110 I,Dolores 110,Pozo Almonte 110,true,true,2016-05-01-00:00,3000-01-01-00:00,110,29.0,0.193,0.247,true,30,0,0
Cerro Balcon 110->Pozo Almonte 110 I,Cerro Balcon 110,Pozo Almonte 110,true,true,2016-05-01-00:00,3000-01-01-00:00,110,29.0,0.147,0.189,true,30,0,0
Pozo Almonte 220->Pozo Almonte1 110 I,Pozo Almonte 220,Pozo Almonte1 110,true,true,2018-01-01-00:00,3000-01-01-00:00,220,100.0,0.0,0.133,true,30,0,0
Salar 220->Salar 110 I,Salar 220,Salar 110,true,true,2018-01-01-00:00,3000-01-01-00:00,220,120.0,0.0,0.071,true,30,0,0
Chuquicamata 220->Chuquicamata 110 I,Chuquicamata 220,Chuquicamata 110,true,true,2018-01-01-00:00,3000-01-01-00:00,220,240.0,0.0,0.058,true,30,0,0
Nueva Zaldivar 220->Escondida 220 II,Nueva Zaldivar 220,Escondida 220,false,false,2018-01-01-00:00,3000-01-01-00:00,220,183.0,0.002,0.011,true,30,0,0
Esmeralda 110->Centro 110 I,Esmeralda 110,Centro 110,true,true,2018-01-01-00:00,3000-01-01-00:00,110,98.0,0.001,0.002,true,30,0,0
Laberinto 220->Lomas Bayas 220 I,Laberinto 220,Lomas Bayas 220,true,true,2020-01-01-00:00,3000-01-01-00:00,220,209.0,0.002,0.009,true,30,0,0
Pampa 110->Mejillones 110 I,Pampa 110,Mejillones 110,true,true,2020-01-01-00:00,3000-01-01-00:00,110,57.0,0.04,0.096,true,30,0,0
Pozo Almonte 066->Tamarugal 066 I,Pozo Almonte 066,Tamarugal 066,true,true,2020-01-01-00:00,3000-01-01-00:00,66,10.0,0.144,0.213,true,30,0,0
Desalant 110->Pampa 110 I,Desalant 110,Pampa 110,true,true,2020-01-01-00:00,3000-01-01-00:00,110,57.0,0.026,0.063,true,30,0,0
Nueva Zaldivar 220->Zaldivar 220 I,Nueva Zaldivar 220,Zaldivar 220,true,true,2020-01-01-00:00,3000-01-01-00:00,220,360.0,0.0,0.001,true,30,0,0
Antofagasta 110->Desalant 110 I,Antofagasta 110,Desalant 110,true,true,2020-01-01-00:00,3000-01-01-00:00,110,57.0,0.015,0.035,true,30,0,0
Encuentro 220->Spence 220 I,Encuentro 220,Spence 220,true,true,2020-01-01-00:00,3000-01-01-00:00,220,318.0,0.01,0.056,true,30,0,0
Condores 220->Parinacota 220 I,Condores 220,Parinacota 220,false,false,2020-01-01-00:00,3000-01-01-00:00,220,91.0,0.042,0.187,true,30,0,0
Lagunas 220->Lagunas 220 AUX,Lagunas 220,Lagunas AUX 220,false,false,1970-01-01-00:00,2013-04-01-00:00,220,160.0,0.0,0.001,true,30,0,0
Lagunas 220->Lagunas 220 AUX II,Lagunas 220,Lagunas AUX 220,false,false,1970-01-01-00:00,2013-09-01-00:00,220,180.0,0.0,0.001,true,30,0,0
Lagunas 220->Lagunas 220 AUX III,Lagunas 220,Lagunas AUX 220,true,true,1970-01-01-00:00,2017-04-01-00:00,220,183.0,0.0,0.001,true,30,0,0
Lagunas 220->Lagunas 220 AUX IV,Lagunas 220,Lagunas AUX 220,true,true,2017-04-01-00:00,3000-01-01-00:00,220,549.0,0.0,0.001,true,30,0,0
Encuentro 220->Collahuasi 220 II,Encuentro 220,Collahuasi 220 Aux,true,true,1970-01-01-00:00,3000-01-01-00:00,220,170.0,0.037,0.168,true,30,0,0
Crucero 220->Encuentro 220 III,Crucero 220,Encuentro 220,false,false,2018-08-01-00:00,3000-01-01-00:00,220,1098.0,0.0,0.001,true,30,0,0
CD Arica 066->Tap Quiani 066,CD Arica 066,Tap Quiani,true,true,1970-01-01-00:00,3000-01-01-00:00,66,17.0,0.037,0.046,true,30,0,0
Tap Quiani 066->Arica 066,Tap Quiani,Arica 066,true,true,1970-01-01-00:00,3000-01-01-00:00,66,17.0,0.041,0.052,true,30,0,0
Tap Quiani 066->Quiani 066,Tap Quiani,Quiani 066,false,false,2012-04-01-00:00,2012-06-01-00:00,66,17.0,0.0,0.001,true,30,0,0
Nueva Mejillones 220->Chacaya 220,Nueva Mejillones 220,Chacaya 220,false,false,2020-02-01-00:00,3000-01-01-00:00,220,1500.0,0.0,0.001,true,30,0,0
Nueva Mejillones 220->Nueva Mejillones 500 I,Nueva Mejillones 220,Nueva Mejillones 500,false,false,2020-02-01-00:00,3000-01-01-00:00,500,750.0,0.0,0.018,true,30,0,0
Nueva Mejillones 220->Nueva Mejillones 500 II,Nueva Mejillones 220,Nueva Mejillones 500,false,false,2020-02-01-00:00,3000-01-01-00:00,500,750.0,0.0,0.018,true,30,0,0
Atacama 220->Nueva Mejillones 220,Atacama 220,Nueva Mejillones 220,false,false,2021-04-01-00:00,3000-01-01-00:00,220,1500.0,0.0,0.001,true,30,0,0
Crucero 220->Encuentro 220  III,Crucero 220,Encuentro 220 Aux,true,true,2015-12-01-00:00,2018-11-01-00:00,220,1000.0,0.0,0.001,true,30,0,10000
Crucero 220->Encuentro 220  IV,Crucero 220,Encuentro 220 Aux,true,true,2015-12-01-00:00,2018-11-01-00:00,220,1000.0,0.0,0.001,true,30,0,10000
Encuentro 220->Encuentro 220 Aux II,Encuentro 220,Encuentro 220 Aux,true,true,2015-12-01-00:00,2018-12-01-00:00,220,1000.0,0.0,0.001,true,30,0,0
Crucero 220->Crucero 220 Aux S,Crucero 220,Crucero 220 Aux S,true,true,2018-11-01-00:00,3000-01-01-00:00,220,500.0,0.0,0.001,true,30,0,0
Encuentro 220 Aux->EnlaceCE 220 I,Encuentro 220 Aux,EnlaceCE 220,false,false,2018-08-01-00:00,3000-01-01-00:00,220,1000.0,0.0,0.001,true,30,0,10000
Encuentro 220 Aux->EnlaceCE 220 II,Encuentro 220 Aux,EnlaceCE 220,false,false,2018-08-01-00:00,3000-01-01-00:00,220,1000.0,0.0,0.001,true,30,0,10000
EnlaceCE 220->EnlaceCE 220 Aux,EnlaceCE 220,EnlaceCE 220 Aux,false,false,2018-08-01-00:00,3000-01-01-00:00,220,1500.0,0.0,0.001,true,30,0,0
Crucero 220 Aux S->EnlaceCE 220 I,Crucero 220 Aux S,EnlaceCE 220,false,false,2018-08-01-00:00,3000-01-01-00:00,220,1000.0,0.0,0.001,true,30,0,10000
Crucero 220 Aux S->EnlaceCE 220 II,Crucero 220 Aux S,EnlaceCE 220,false,false,2018-08-01-00:00,3000-01-01-00:00,220,1000.0,0.0,0.001,true,30,0,10000
EnlaceCE 220 Aux->Nueva Crucero Encuentro 220 I,EnlaceCE 220 Aux,Nueva Crucero Encuentro 220,false,false,2018-08-01-00:00,3000-01-01-00:00,220,500.0,0.001,0.101,true,30,0,0
EnlaceCE 220 Aux->Nueva Crucero Encuentro 220 II,EnlaceCE 220 Aux,Nueva Crucero Encuentro 220,false,false,2018-08-01-00:00,3000-01-01-00:00,220,500.0,0.001,0.101,true,30,0,0
EnlaceCE 220 Aux->Nueva Crucero Encuentro 220 III,EnlaceCE 220 Aux,Nueva Crucero Encuentro 220,false,false,2018-08-01-00:00,3000-01-01-00:00,220,500.0,0.001,0.101,true,30,0,0
EnlaceCE 220 Aux->Nueva Crucero Encuentro 220 IV,EnlaceCE 220 Aux,Nueva Crucero Encuentro 220,false,false,2018-08-01-00:00,3000-01-01-00:00,220,500.0,0.001,0.101,true,30,0,0
Lagunas 220->Lagunas 220 Aux S,Lagunas 220,Lagunas 220 Aux S,false,false,2017-04-01-00:00,3000-01-01-00:00,220,1000.0,0.0,0.001,true,30,0,0
Encuentro 220->Lagunas 220 I,Encuentro 220,Lagunas 220 Aux S,false,false,2017-04-01-00:00,3000-01-01-00:00,220,290.0,0.032,0.142,true,30,0,0
Encuentro 220->Lagunas 220 II,Encuentro 220,Lagunas 220 Aux S,false,false,2017-04-01-00:00,3000-01-01-00:00,220,290.0,0.032,0.142,true,30,0,0
Miraje 220->Miraje 220 Aux,Miraje 220,Miraje 220 Aux,true,true,2016-01-01-00:00,3000-01-01-00:00,220,245.8,0.0,0.001,true,30,0,0
Encuentro 220->Miraje 220 Aux I,Encuentro 220,Miraje 220 Aux,true,true,2016-01-01-00:00,3000-01-01-00:00,220,245.8,0.001,0.008,true,30,0,10000
Encuentro 220->Miraje 220 Aux II,Encuentro 220,Miraje 220 Aux,true,true,2016-01-01-00:00,3000-01-01-00:00,220,245.8,0.001,0.008,true,30,0,10000
Miraje 220->Atacama 220 Aux I,Miraje 220,Atacama 220 Aux,true,true,2016-01-01-00:00,3000-01-01-00:00,220,245.8,0.014,0.087,true,30,0,10000
Miraje 220->Atacama 220 Aux II,Miraje 220,Atacama 220 Aux,true,true,2016-01-01-00:00,3000-01-01-00:00,220,245.8,0.014,0.087,true,30,0,10000
Nueva Crucero Encuentro 500->Nueva Crucero Encuentro 220 I,Nueva Crucero Encuentro 500,Nueva Crucero Encuentro 220,true,true,2020-12-01-00:00,3000-01-01-00:00,500,750.0,0.0,0.018,true,30,0,0
Nueva Crucero Encuentro 500->Nueva Crucero Encuentro 220 II,Nueva Crucero Encuentro 500,Nueva Crucero Encuentro 220,true,true,2020-12-01-00:00,3000-01-01-00:00,500,750.0,0.0,0.018,true,30,0,0
Nueva Mejillones 500->Nueva Mejillones 500 Aux,Nueva Mejillones 500,Nueva Mejillones 500 Aux,false,false,2020-02-01-00:00,3000-01-01-00:00,500,1500.0,0.0,0.001,true,30,0,0
Nueva Mejillones 500->Nueva Crucero Encuentro 500 I,Nueva Mejillones 500 Aux,Nueva Crucero Encuentro 500,false,false,2020-02-01-00:00,3000-01-01-00:00,500,1500.0,0.001,0.007,true,30,0,0
Nueva Mejillones 500->Nueva Crucero Encuentro 500 II,Nueva Mejillones 500 Aux,Nueva Crucero Encuentro 500,false,false,2020-02-01-00:00,3000-01-01-00:00,500,1500.0,0.001,0.007,true,30,0,0
Atacama 220->Atacama 220 Aux,Atacama 220,Atacama 220 Aux,true,true,1970-01-01-00:00,3000-01-01-00:00,220,386.0,0.0,0.001,true,30,0,0
Encuentro 220 Aux->Nueva Crucero Encuentro 220 I,Encuentro 220 Aux,Nueva Crucero Encuentro 220,true,true,2018-11-01-00:00,3000-01-01-00:00,220,500.0,0.0,0.001,true,30,0,10000
Encuentro 220 Aux->Nueva Crucero Encuentro 220 II,Encuentro 220 Aux,Nueva Crucero Encuentro 220,true,true,2018-11-01-00:00,3000-01-01-00:00,220,500.0,0.0,0.001,true,30,0,10000
Nueva Crucero Encuentro 220->Crucero 220 Aux S I,Nueva Crucero Encuentro 220,Crucero 220 Aux S,true,true,2018-11-01-00:00,3000-01-01-00:00,220,500.0,0.0,0.001,true,30,0,10000
Nueva Crucero Encuentro 220->Crucero 220 Aux S II,Nueva Crucero Encuentro 220,Crucero 220 Aux S,true,true,2018-11-01-00:00,3000-01-01-00:00,220,500.0,0.0,0.001,true,30,0,10000
Laberinto 220->Kapatur 220,Laberinto 220,Kapatur 220,true,true,2016-10-01-00:00,3000-01-01-00:00,220,700.0,0.004,0.042,true,30,0,0
Kapatur 220->Ohiggins 220,Kapatur 220,Ohiggins 220,true,true,2016-10-01-00:00,3000-01-01-00:00,220,700.0,0.002,0.021,true,30,0,0
Quebrada Blanca 220->Lagunas 220,Quebrada Blanca 220,Lagunas 220,true,true,2019-01-01-00:00,3000-01-01-00:00,220,610.0,0.008,0.059,true,30,0,0
Atacama 220->Ohiggins 220,Atacama 220,Ohiggins 220,true,true,2016-06-01-00:00,3000-01-01-00:00,220,245.78,0.008,0.032,true,30,0,0
OHiggins 220->Domeyko 220,Ohiggins 220,Domeyko 220,true,true,2016-06-01-00:00,3000-01-01-00:00,220,512.0,0.013,0.054,true,30,0,0
Enlace->Nueva Crucero Encuentro 220,Kapatur 220,Nueva Crucero Encuentro 220,false,false,2020-02-01-00:00,3000-01-01-00:00,500,1500.0,0.001,0.011,true,30,600,13
Nueva Crucero-Encuentro 220->Chuquicamata 220,Nueva Crucero Encuentro 220,Chuquicamata 220,true,true,2019-05-01-00:00,2020-06-01-00:00,220,357.0,0.008,0.058,true,30,0,0
Nueva Crucero Encuentro 220->Laberinto 220 I,Nueva Crucero Encuentro 220,Laberinto 220 Aux,true,true,2019-05-01-00:00,3000-01-01-00:00,220,293.03,0.022,0.113,true,30,0,0
Nueva Crucero Encuentro 220->Laberinto 220 II,Nueva Crucero Encuentro 220,Laberinto 220 Aux,true,true,2019-05-01-00:00,3000-01-01-00:00,220,304.84,0.02,0.11,true,30,0,0
Nueva Crucero Encuentro 220->Lagunas 220 II,Nueva Crucero Encuentro 220,Lagunas AUX 220,false,false,2019-05-01-00:00,3000-01-01-00:00,220,183.0,0.032,0.142,true,30,0,0
Nueva Crucero Encuentro 220->Nueva Victoria 220,Nueva Crucero Encuentro 220,Nueva Victoria 220,false,false,2019-05-01-00:00,3000-01-01-00:00,220,183.0,0.033,0.136,true,30,0,0
El Loa 220->Nueva Crucero Encuentro 220,El Loa 220,Nueva Crucero Encuentro 220,true,true,2019-05-01-00:00,3000-01-01-00:00,220,714.0,0.001,0.004,true,30,0,0
Nueva Crucero Encuentro 220->Salar 220,Nueva Crucero Encuentro 220,Salar 220,true,true,2019-05-01-00:00,2020-06-01-00:00,220,330.0,0.009,0.061,true,30,0,0
Nueva Crucero Encuentro 220->Nueva Chuquicamata 220 1,Nueva Crucero Encuentro 220,Nueva Chuquicamata 220,true,true,2020-06-01-00:00,3000-01-01-00:00,220,357.0,0.006,0.042,true,30,0,0
Nueva Crucero Encuentro 220->Nueva Chuquicamata 220 2,Nueva Crucero Encuentro 220,Nueva Chuquicamata 220,true,true,2020-06-01-00:00,3000-01-01-00:00,220,330.0,0.006,0.042,true,30,0,0
Nueva Chuquicamata 220->Nueva Chuquicamata 220 Aux,Nueva Chuquicamata 220,Nueva Chuquicamata 220 Aux,true,true,2020-06-01-00:00,3000-01-01-00:00,220,330.0,0.0,0.001,true,30,0,0
Nueva Chuquicamata 220 Aux->Chuquicamata 220,Nueva Chuquicamata 220 Aux,Chuquicamata 220,true,true,2020-06-01-00:00,3000-01-01-00:00,220,357.0,0.002,0.016,true,30,0,0
Nueva Chuquicamata 220 Aux->Salar 220,Nueva Chuquicamata 220 Aux,Salar 220,true,true,2020-06-01-00:00,3000-01-01-00:00,220,330.0,0.003,0.019,true,30,0,0
Nueva Chuquicamata 220 Aux->Calama 220,Nueva Chuquicamata 220 Aux,Calama 220,true,true,2022-06-01-00:00,3000-01-01-00:00,220,330.0,0.004,0.017,true,30,0,0
Collahuasi 220->Collahuasi 220 Aux,Collahuasi 220,Collahuasi 220 Aux,true,true,1970-01-01-00:00,3000-01-01-00:00,220,340.0,0.0,0.001,true,30,0,0
Laberinto 220 Aux->Laberinto 220,Laberinto 220 Aux,Laberinto 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,293.03,0.0,0.001,true,30,0,0
Salar 220->Calama 220,Salar 220,Calama 220,true,true,2015-03-01-00:00,3000-01-01-00:00,220,330.0,0.002,0.015,true,30,0,0
Calama 220->Calama 100,Calama 220,Calama 110,true,true,2015-03-01-00:00,3000-01-01-00:00,220,150.0,0.0,0.057,true,30,0,0
Parinacota 220 Aux->Parinacota 220,Parinacota 220 Aux,Parinacota 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,91.45,0.0,0.001,true,30,0,0
Parinacota 220 Aux->Nueva Pozo Almonte 220 Aux,Parinacota 220 Aux,Nueva Pozo Almonte 220 Aux,true,true,2021-06-01-00:00,3000-01-01-00:00,220,260.0,0.046,0.194,true,30,0,0
Condores 220->Nueva Pozo Almonte 220 Aux,Condores 220,Nueva Pozo Almonte 220 Aux,true,true,2021-06-01-00:00,3000-01-01-00:00,220,260.0,0.008,0.033,true,30,0,0
Nueva Pozo Almonte 220 Aux->Nueva Pozo Almonte 220,Nueva Pozo Almonte 220 Aux,Nueva Pozo Almonte 220,true,true,2021-06-01-00:00,3000-01-01-00:00,220,260.0,0.0,0.001,true,30,0,0
Pozo Almonte 220 Aux->Pozo Almonte 220,Pozo Almonte 220 Aux,Pozo Almonte 220,true,true,2019-06-01-00:00,3000-01-01-00:00,220,183.0,0.0,0.001,true,30,0,0
Nueva Pozo Almonte 220->Pozo Almonte 220 Aux I,Nueva Pozo Almonte 220,Pozo Almonte 220 Aux,true,true,2019-06-01-00:00,3000-01-01-00:00,220,183.0,0.002,0.007,true,30,0,0
Lagunas 220->Nueva Pozo Almonte 220,Lagunas 220,Nueva Pozo Almonte 220,true,true,2019-06-01-00:00,3000-01-01-00:00,220,183.0,0.013,0.053,true,30,0,0
Nueva Pozo Almonte 220->Pozo Almonte 220 Aux II,Nueva Pozo Almonte 220,Pozo Almonte 220 Aux,true,true,2021-06-01-00:00,3000-01-01-00:00,220,260.0,0.002,0.007,true,30,0,0
Quillagua 220 Aux->Lagunas AUX 220,Quillagua 220 Aux,Lagunas AUX 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,183.0,0.018,0.081,true,30,0,0
Quillagua 220->Quillagua 220 Aux,Quillagua 220,Quillagua 220 Aux,true,true,1970-01-01-00:00,3000-01-01-00:00,220,183.0,0.0,0.001,true,30,0,0
Maria Elena 220 Aux->Quillagua 220 I,Maria Elena 220 Aux,Quillagua 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,183.0,0.012,0.055,true,30,0,0
Maria Elena 220->Maria Elena 220 Aux,Maria Elena 220,Maria Elena 220 Aux,true,true,1970-01-01-00:00,3000-01-01-00:00,220,183.0,0.0,0.001,true,30,0,0
Crucero 220->Maria Elena 220 I,Crucero 220,Maria Elena 220,true,true,1970-01-01-00:00,2019-05-01-00:00,220,183.0,0.001,0.006,true,30,0,0
Quillagua 220 Aux->Nueva Victoria 220,Quillagua 220 Aux,Nueva Victoria 220,true,true,2018-09-01-00:00,3000-01-01-00:00,220,183.0,0.017,0.072,true,30,0,0
Maria Elena 220 Aux->Quillagua 220 II,Maria Elena 220 Aux,Quillagua 220,true,true,2018-09-01-00:00,3000-01-01-00:00,220,183.0,0.014,0.058,true,30,0,0
Crucero 220->Maria Elena 220 II,Crucero 220,Maria Elena 220,true,true,2018-09-01-00:00,2019-05-01-00:00,220,183.0,0.001,0.006,true,30,0,0
Nueva Crucero Encuentro 220->Maria Elena 220 I,Nueva Crucero Encuentro 220,Maria Elena 220,true,true,2019-05-01-00:00,3000-01-01-00:00,220,183.0,0.001,0.006,true,30,0,0
Nueva Crucero Encuentro 220->Maria Elena 220 II,Nueva Crucero Encuentro 220,Maria Elena 220,true,true,2019-05-01-00:00,3000-01-01-00:00,220,183.0,0.001,0.006,true,30,0,0
Encuentro 220->Encuentro 220 Aux III,Encuentro 220,Encuentro 220 Aux,true,true,2018-12-01-00:00,3000-01-01-00:00,220,500.0,0.0,0.001,true,30,0,0
Antucoya 220 Aux->Antucoya 220,Antucoya 220 Aux,Antucoya 220,false,false,2018-07-01-00:00,3000-01-01-00:00,220,386.0,0.0,0.001,true,30,0,0
Miraje 220->Antucoya 220 Aux,Miraje 220,Antucoya 220 Aux,false,false,2018-07-01-00:00,3000-01-01-00:00,220,386.0,0.008,0.049,true,30,0,0
Miraje 220->Antucoya 220 Aux II,Miraje 220,Antucoya 220 Aux,false,false,2018-07-01-00:00,3000-01-01-00:00,220,386.0,0.008,0.049,true,30,0,0
Antucoya 220->Atacama 220 Aux,Antucoya 220,Atacama 220 Aux,false,false,2018-07-01-00:00,3000-01-01-00:00,220,386.0,0.006,0.038,true,30,0,0
Antucoya 220->Atacama 220 Aux II,Antucoya 220,Atacama 220 Aux,false,false,2018-07-01-00:00,3000-01-01-00:00,220,386.0,0.006,0.038,true,30,0,0
Zaldivar 220->OGP1 220,Zaldivar 220,OGP1 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,264.0,0.018,0.068,true,30,0,0
OGP1 220->Domeyko 220,OGP1 220,Domeyko 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,264.0,0.009,0.036,true,30,0,0
Diego de Almagro 220->Carrera Pinto 220,Diego de Almagro 220 Aux,Carrera Pinto 220,true,true,1970-01-01-00:00,2017-05-01-00:00,220,197.0,0.015,0.059,true,30,11.341,0.311
Carrera Pinto 220->Carrera Pinto 220 Aux II,Carrera Pinto 220,Carrera Pinto 220 Aux,true,true,2017-10-01-00:00,2017-12-01-00:00,220,394.0,0.0,0.001,false,30,0,0
Carrera Pinto 220->Carrera Pinto 220 Aux III,Carrera Pinto 220,Carrera Pinto 220 Aux,true,true,2017-12-01-00:00,2018-01-01-00:00,220,342.0,0.0,0.001,false,30,0,0
Carrera Pinto 220->Carrera Pinto 220 Aux,Carrera Pinto 220,Carrera Pinto 220 Aux,true,true,1970-01-01-00:00,2017-10-01-00:00,220,197.0,0.0,0.001,false,30,0,0
Cardones 220->Diego de Almagro 220,Cardones 220,Diego de Almagro 220 Aux,true,true,2015-11-01-00:00,2017-10-01-00:00,220,342.0,0.03,0.121,true,30,26.609,0.649
Diego de Almagro 220->Carrera Pinto 220 I,Diego de Almagro 220 Aux,Carrera Pinto 220,true,true,2017-07-01-00:00,3000-01-01-00:00,220,400.0,0.015,0.059,true,30,11.341,0.311
Carrera Pinto 220->Carrera Pinto 220 Aux IV,Carrera Pinto 220,Carrera Pinto 220 Aux,true,true,2018-01-01-00:00,3000-01-01-00:00,220,684.0,0.0,0.001,false,30,0,0
Diego de Almagro 220->Carrera Pinto 220 III,Diego de Almagro 220 Aux,Carrera Pinto 220,true,true,2016-11-01-00:00,3000-01-01-00:00,220,342.0,0.016,0.062,true,30,11.341,0.311
Carrera Pinto 220 Aux->Cardones 220 III,Carrera Pinto 220 Aux,Cardones 220,true,true,2016-11-01-00:00,2019-05-01-00:00,220,342.0,0.015,0.059,true,30,10.179,0.275
Diego de Almagro 220->Carrera Pinto 220 IV,Diego de Almagro 220 Aux,Carrera Pinto 220,true,true,2017-10-01-00:00,3000-01-01-00:00,220,342.0,0.016,0.062,true,30,11.341,0.311
Carrera Pinto 220 Aux->Cardones 220 IV,Carrera Pinto 220 Aux,Cardones 220,true,true,2017-10-01-00:00,2019-05-01-00:00,220,342.0,0.015,0.059,true,30,10.179,0.275
Diego de Almagro 220->Diego de Almagro 220 Aux,Diego de Almagro 220,Diego de Almagro 220 Aux,true,true,1970-01-01-00:00,2017-07-01-00:00,220,342.0,0.0,0.001,true,30,0,0
Diego de Almagro 220->Diego de Almagro 220 Aux II,Diego de Almagro 220,Diego de Almagro 220 Aux,true,true,2017-07-01-00:00,3000-01-01-00:00,220,684.0,0.0,0.001,true,30,0,0
Pan de Azucar 500->Polpaico 500,Pan de Azucar 500,Polpaico 500,true,true,2018-01-01-00:00,3000-01-01-00:00,500,1700.0,0.002,0.01,true,30,100,10
Pan de Azucar 500->Pan de Azucar 220,Pan de Azucar 500,Pan de Azucar 220,true,true,2018-01-01-00:00,3000-01-01-00:00,500,750.0,0.0,0.019,true,30,19.488,0.53
Pan de Azucar 500->Maitencillo 500,Pan de Azucar 500,Maitencillo 500,true,true,2017-12-01-00:00,3000-01-01-00:00,500,1700.0,0.001,0.005,true,30,100,10
Maitencillo 500->Maitencillo 220,Maitencillo 500,Maitencillo 220,true,true,2018-01-01-00:00,3000-01-01-00:00,500,750.0,0.0,0.019,true,30,19.488,0.53
Maitencillo 500->Cardones 500,Maitencillo 500,Cardones 500,true,true,2017-12-01-00:00,3000-01-01-00:00,500,1700.0,0.001,0.007,true,30,100,10
Cardones 500->Cardones 220,Cardones 500,Cardones 220,true,true,2018-01-01-00:00,3000-01-01-00:00,500,750.0,0.0,0.019,true,30,19.488,0.53
Cardones 220->Maitencillo 220,Cardones 220,Maitencillo 220,true,true,1970-01-01-00:00,2016-09-01-00:00,220,420.0,0.009,0.036,true,30,35.857,0.875
Cardones 220->Maitencillo 220 II,Cardones 220,Maitencillo 220,true,true,2016-09-01-00:00,2018-01-01-00:00,220,520.0,0.009,0.036,true,30,35.857,0.875
Cardones 220->Maitencillo 220 III,Cardones 220,Maitencillo 220,true,true,2018-01-01-00:00,2019-11-01-00:00,220,660.0,0.009,0.036,true,30,35.857,0.875
Cardones 220->Algarrobal 220,Cardones 220,Algarrobal 220,true,true,2019-11-01-00:00,3000-01-01-00:00,220,660.0,0.005,0.018,true,30,35.857,0.875
Algarrobal 220->Algarrobal 220 Aux,Algarrobal 220,Algarrobal 220 Aux,true,true,2019-11-01-00:00,3000-01-01-00:00,220,660.0,0.0,0.001,true,30,0,0
Algarrobal 220 Aux->Maitencillo 220,Algarrobal 220 Aux,Maitencillo 220,true,true,2019-11-01-00:00,3000-01-01-00:00,220,660.0,0.005,0.018,true,30,35.857,0.875
Maitencillo 220->Don Hector 220,Maitencillo 220,Don Hector 220,true,true,1970-01-01-00:00,2018-01-01-00:00,220,394.0,0.008,0.031,true,30,0,0
Don Hector 220->Don Hector 220 Aux,Don Hector 220,Don Hector 220 Aux,true,true,1970-01-01-00:00,2018-01-01-00:00,220,394.0,0.0,0.001,true,30,0,0
Don Hector 220 Aux->Punta Colorada 220,Don Hector 220 Aux,Punta Colorada 220,true,true,1970-01-01-00:00,2018-01-01-00:00,220,394.0,0.003,0.013,true,30,0,0
Punta Colorada 220->Pan de Azucar 220,Punta Colorada 220,Pan de Azucar 220,true,true,1970-01-01-00:00,2018-01-01-00:00,220,394.0,0.009,0.036,true,30,16.969,0.4285
Las Palmas 220->Los Vilos 220,Las Palmas 220,Los Vilos 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,400.0,0.007,0.031,true,30,14.327,0.383
Los Vilos 220->Nogales 220,Los Vilos 220,Nogales 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,400.0,0.01,0.039,true,30,100,10
Nogales 220->Polpaico 220,Nogales 220,Polpaico 220,true,true,2011-11-01-00:00,3000-01-01-00:00,220,1500.0,0.001,0.015,true,30,100,10
Quillota 220->Polpaico 220,Quillota 220,Polpaico 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,1422.0,0.001,0.012,true,30,21.139,0.466
San Luis 220->Quillota 220,San Luis 220,Quillota 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,2352.0,0.0,0.002,true,30,13.532,0.332
Agua Santa 220->San Luis 220,Agua Santa 220,San Luis 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,321.15,0.003,0.019,true,30,10.942,0.246
Agua Santa 220->Agua Santa 110,Agua Santa 220,Agua Santa 110,true,true,1970-01-01-00:00,3000-01-01-00:00,220,294.0,0.0,0.042,true,30,2.162,0.074
Quillota 220->Quillota 110 1,Quillota 220,Quillota 110,true,true,1970-01-01-00:00,3000-01-01-00:00,220,225.0,0.001,0.059,true,30,7.253,0.222
Quillota 220->Quillota 110 2,Quillota 220,Quillota 110,true,true,2017-09-01-00:00,3000-01-01-00:00,220,150.0,0.001,0.093,true,30,6.202,0.192
Agua Santa 110->Quillota 110,Agua Santa 110,Quillota 110,true,true,1970-01-01-00:00,3000-01-01-00:00,110,800.0,0.017,0.043,true,30,35.467,0.685
Las Vegas 110->Quillota 110,Las Vegas 110,Quillota 110,true,true,1970-01-01-00:00,3000-01-01-00:00,110,366.0,0.008,0.045,true,30,14.75,0.214
Polpaico 220->El Llano 220,Polpaico 220,El Llano 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,294.0,0.006,0.024,true,30,0,0
El Llano 220->Los Maquis 220,El Llano 220,Los Maquis 220 Aux,true,true,1970-01-01-00:00,3000-01-01-00:00,220,294.0,0.008,0.033,true,30,0,0
Polpaico 220->Los Maquis 220,Polpaico 220,Los Maquis 220 Aux,true,true,1970-01-01-00:00,3000-01-01-00:00,220,294.0,0.014,0.057,true,30,0,0
